epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,18710.6,1.08756,1.29581,1.23791,0.53501,0.54472,0.51462,0.33995,1.17936,1.50223,1.33767,0.0030695,0.0030695,0.0030695
158,18825.7,1.09215,1.29505,1.23674,0.53669,0.53995,0.5147,0.33962,1.17801,1.50283,1.33603,0.00305712,0.00305712,0.00305712
159,18940,1.09139,1.30124,1.24693,0.5406,0.54062,0.51418,0.33865,1.17656,1.50501,1.33535,0.00304475,0.00304475,0.00304475
160,19054.1,1.08159,1.2761,1.23724,0.54758,0.53127,0.51478,0.33886,1.17664,1.505,1.33565,0.00303237,0.00303237,0.00303237
161,19168.8,1.07796,1.28174,1.23478,0.54501,0.52926,0.51397,0.33835,1.1768,1.50452,1.33631,0.00302,0.00302,0.00302
162,19283,1.09425,1.30707,1.2423,0.54137,0.53334,0.51401,0.33868,1.17775,1.50249,1.33759,0.00300762,0.00300762,0.00300762
163,19397.8,1.07329,1.26008,1.23096,0.53998,0.53239,0.51409,0.3393,1.17693,1.50099,1.33658,0.00299525,0.00299525,0.00299525
164,19512.1,1.07266,1.28045,1.22777,0.54374,0.53147,0.51453,0.34018,1.17709,1.49974,1.3369,0.00298288,0.00298288,0.00298288
165,19627,1.06906,1.27867,1.22295,0.551,0.53058,0.51408,0.34041,1.17522,1.49943,1.33492,0.0029705,0.0029705,0.0029705
166,19741.8,1.0642,1.2582,1.21914,0.55756,0.52553,0.51528,0.34083,1.17479,1.49935,1.33506,0.00295813,0.00295813,0.00295813
167,19857.5,1.0818,1.26686,1.2288,0.56291,0.52173,0.51523,0.34054,1.17495,1.5,1.33485,0.00294575,0.00294575,0.00294575
168,19972,1.06979,1.24489,1.22488,0.5565,0.52276,0.5165,0.34056,1.17422,1.50096,1.33437,0.00293338,0.00293338,0.00293338
169,20086.5,1.07587,1.26538,1.23382,0.55781,0.52222,0.51628,0.34119,1.17482,1.50039,1.33454,0.002921,0.002921,0.002921
170,20202.2,1.07258,1.2319,1.22432,0.55906,0.52292,0.51702,0.3417,1.17503,1.50018,1.33488,0.00290863,0.00290863,0.00290863
171,20317.7,1.05966,1.22021,1.2142,0.56438,0.52114,0.5174,0.34154,1.17426,1.50046,1.33399,0.00289625,0.00289625,0.00289625
172,20432.1,1.05794,1.22944,1.21967,0.56827,0.51411,0.51555,0.3417,1.17422,1.5012,1.33381,0.00288388,0.00288388,0.00288388
173,20547.6,1.05552,1.2237,1.21028,0.56806,0.51369,0.51602,0.34218,1.17382,1.50161,1.33312,0.0028715,0.0028715,0.0028715
174,20663.1,1.06297,1.21924,1.21587,0.57348,0.51437,0.51895,0.34237,1.17234,1.50169,1.33155,0.00285913,0.00285913,0.00285913
175,20778.5,1.04736,1.19847,1.20648,0.57288,0.51696,0.5204,0.34307,1.17279,1.50096,1.33192,0.00284675,0.00284675,0.00284675
176,20893.7,1.06325,1.20406,1.21326,0.56902,0.51961,0.52012,0.34327,1.17258,1.50024,1.33158,0.00283438,0.00283438,0.00283438
177,21009,1.06281,1.21627,1.21808,0.57372,0.51786,0.5201,0.34342,1.17242,1.50063,1.33129,0.002822,0.002822,0.002822
178,21124.3,1.05235,1.20023,1.21067,0.57489,0.51816,0.51973,0.34358,1.17189,1.49984,1.33071,0.00280963,0.00280963,0.00280963
179,21239.7,1.06785,1.20894,1.22092,0.57516,0.51921,0.52029,0.34395,1.17281,1.49988,1.33163,0.00279725,0.00279725,0.00279725
